symbol,interval,start,end,method,param,final_balance,return_pct,max_drawdown,win_rate,total_trades,profit_factor,sharpe
BTCUSDT,15m,20240101,20241231,fixed,350,169360.89394346546,15.936089394346546,0.10835706499971702,0.4227005870841487,1022,2.1092562658671867,
BTCUSDT,15m,20240101,20241231,fixed,400,170747.14774952966,16.074714774952966,0.09490811008819248,0.43300248138957814,806,2.185148195607559,
BTCUSDT,15m,20240101,20241231,fixed,450,98797.10521412206,8.879710521412205,0.11612525054958157,0.4067055393586006,686,2.0014671948018328,
BTCUSDT,15m,20240101,20241231,fixed,500,92497.1882943022,8.24971882943022,0.1260144616375984,0.4342560553633218,578,2.0062321114630706,
BTCUSDT,15m,20240101,20241231,percentage,0.003,393566.20317094476,38.356620317094475,0.10952766820755715,0.44049247606019154,1462,2.2126174466404014,
BTCUSDT,15m,20240101,20241231,percentage,0.0035,209318.9716129678,19.93189716129678,0.09915286895095692,0.4221105527638191,1194,1.9582770187494931,
BTCUSDT,15m,20240101,20241231,percentage,0.004,141900.33214544973,13.190033214544973,0.10825815838828001,0.4108606557377049,976,1.9599840027990623,
BTCUSDT,15m,20240101,20241231,percentage,0.0045,130296.2081480404,12.02962081480404,0.12304115580688992,0.41375,800,1.9827742954242273,
BTCUSDT,15m,20240101,20241231,percentage,0.005,87519.4960098774,7.75194960098774,0.1046462142952705,0.4064327485380117,684,1.843213362397667,
BTCUSDT,15m,20240101,20241231,percentage,0.0055,84825.1026095937,7.48251026095937,0.10610602541860824,0.42105263157894735,570,1.928686388758036,
BTCUSDT,15m,20240101,20241231,log_percentage,0.003,393566.20317094476,38.356620317094475,0.10952766820755715,0.44049247606019154,1462,2.2126174466404014,
BTCUSDT,15m,20240101,20241231,log_percentage,0.0035,209318.9716129678,19.93189716129678,0.09915286895095692,0.4221105527638191,1194,1.9582770187494931,
BTCUSDT,15m,20240101,20241231,log_percentage,0.004,141900.33214544973,13.190033214544973,0.10825815838828001,0.4108606557377049,976,1.9599840027990623,
BTCUSDT,15m,20240101,20241231,log_percentage,0.0045,130296.2081480404,12.02962081480404,0.12304115580688992,0.41375,800,1.9827742954242273,
BTCUSDT,15m,20240101,20241231,log_percentage,0.005,87519.4960098774,7.75194960098774,0.1046462142952705,0.4064327485380117,684,1.843213362397667,
BTCUSDT,15m,20240101,20241231,log_percentage,0.0055,84825.7249334,146580.77797249335,0.1354053431233668,0.48774795799299886,17140,3.317885884217087,
BTCUSDT,1m,20250101,20251201,fixed,100,5158.050568923672,-0.48419494310763284,0.8571671607256314,0.4070494599204093,14072,1.33922989198936,
BTCUSDT,1mto5m,20250101,20251201,fixed,100,8310902.150186255,830.0902150186255,0.09095350492766772,0.47909929332854234,8349,2.2846626954061766,
BTCUSDT,1m,20250101,20251201,fixed,150,12181.072874715339,0.21810728747153388,0.705103929388807,0.3804767612198695,7509,1.2721844130908222,
BTCUSDT,1mto5m,20250101,20251201,fixed,150,1045444.1424896246,103.54441424896245,0.08999025012289688,0.4363154676992052,4907,1.8874265519874447,
BTCUSDT,1m,20250101,20251201,fixed,200,11265.720080805197,0.12657200808051966,0.5347693142671838,0.3586979496935109,4731,1.2132716205079876,
BTCUSDT,1mto5m,20250101,20251201,fixed,200,263123.60168835067,25.312360168835067,0.1407693005393601,0.40417801998183467,3303,1.7053405935579335,
BTCUSDT,1m,20250101,20251201,fixed,250,12198.447485652028,0.21984474856520284,0.36992921460997097,0.34424695977549113,3207,1.1830689355913033,
BTCUSDT,1mto5m,20250101,20251201,fixed,250,110894.55801250601,10.089455801250601,0.11930547879976644,0.37891617273497036,2362,1.5258612402825422,
BTCUSDT,1m,20250101,20251201,fixed,300,14873.261450173011,0.48732614501730115,0.2219165718905177,0.34428327645051193,2344,1.1990517873593738,
BTCUSDT,1mto5m,20250101,20251201,fixed,300,91480.6754155875,8.14806754155875,0.14461557049429863,0.38346727898966704,1742,1.6410560463156643,
BTCUSDT,1m,20250101,20251201,fixed,350,9088.967832447113,-0.09110321675528867,0.37699941413779375,0.3313253012048193,1826,1.105573270777943,
BTCUSDT,1mto5m,20250101,20251201,fixed,350,52301.301638659745,4.230130163865974,0.21049435222268487,0.3861671469740634,1388,1.4480988776862724,
BTCUSDT,1m,20250101,20251201,fixed,400,12191.5136099966,0.21915136099966004,0.33878782915810485,0.33974358974358976,1404,1.145536146981357,
